AirlineName,MaxDepDelayMinutes
"Alaska Airlines Inc.: AS",512
"Southwest Airlines Co.: WN",643
"PSA Airlines Inc.: OH",773
"Frontier Airlines Inc.: F9",870
"Hawaiian Airlines Inc.: HA",872
"Envoy Air: MQ",942
"Republic Airline: YX",960
"Delta Air Lines Inc.: DL",1109
"JetBlue Airways: B6",1174
"Endeavor Air Inc.: 9E",1231
"Spirit Air Lines: NK",1283
"Allegiant Air: G4",1336
"ExpressJet Airlines LLC: EV",1349
"United Air Lines Inc.: UA",1362
"American Airlines Inc.: AA",1439
"Mesa Airlines Inc.: YV",1789
"SkyWest Airlines Inc.: OO",2098
