AirlineName,MaxEarlyDepartureMin
"United Air Lines Inc.: UA",72
"Frontier Airlines Inc.: F9",60
"Alaska Airlines Inc.: AS",46
"SkyWest Airlines Inc.: OO",39
"Hawaiian Airlines Inc.: HA",37
"Southwest Airlines Co.: WN",32
"JetBlue Airways: B6",32
"Allegiant Air: G4",31
"Endeavor Air Inc.: 9E",30
"Envoy Air: MQ",29
"ExpressJet Airlines LLC: EV",28
"American Airlines Inc.: AA",28
"Republic Airline: YX",26
"Mesa Airlines Inc.: YV",26
"Spirit Air Lines: NK",26
"PSA Airlines Inc.: OH",25
"Delta Air Lines Inc.: DL",24
