airline_name,airport_name,avg_dep_delay
"Alaska Airlines Inc.: AS","Detroit, MI: Detroit Metro Wayne County",27.93548387096774
"Allegiant Air: G4","Portsmouth, NH: Portsmouth International at Pease",66.13636363636364
"American Airlines Inc.: AA","Hayden, CO: Yampa Valley",71.15384615384616
"Delta Air Lines Inc.: DL","Kalispell, MT: Glacier Park International",60.125
"Endeavor Air Inc.: 9E","Great Falls, MT: Great Falls International",76.73684210526316
"Envoy Air: MQ","Key West, FL: Key West International",135.875
"ExpressJet Airlines LLC: EV","Detroit, MI: Detroit Metro Wayne County",167
"Frontier Airlines Inc.: F9","Dallas/Fort Worth, TX: Dallas/Fort Worth International",53.483870967741936
"Hawaiian Airlines Inc.: HA","San Francisco, CA: San Francisco International",36.12162162162162
"JetBlue Airways: B6","Dallas/Fort Worth, TX: Dallas/Fort Worth International",47.2093023255814
"Mesa Airlines Inc.: YV","Harlingen/San Benito, TX: Valley International",61.68181818181818
"PSA Airlines Inc.: OH","Watertown, NY: Watertown International",35.16
"Republic Airline: YX","Brownsville, TX: Brownsville South Padre Island International",42.333333333333336
"SkyWest Airlines Inc.: OO","Baltimore, MD: Baltimore/Washington International Thurgood Marshall",91.21052631578948
"Southwest Airlines Co.: WN","New York, NY: LaGuardia",21.682075471698113
"Spirit Air Lines: NK","Greensboro/High Point, NC: Piedmont Triad International",35.97142857142857
"United Air Lines Inc.: UA","Eagle, CO: Eagle County Regional",54.88709677419355
